tweet_text,cyberbullying_type
joebudden bad bitch bad start talk anyway preach,Offensive
kinsl pussy honey home,Offensive
kaaygq sexy bitch hope,Offensive
katefrancesss majority news feed people argue mean redneck vermontproblems,Offensive
keauram whitegoddesss repost kush blunt convos simple mind ho make pic bet,Offensive
kinggki im drunk bitch need ride,Offensive
lakeshorejohnny eliot pussy mmmmmether,Offensive
leelucas maxnostalgia bitch ima shake today learn can not nomo,Offensive
legendarye dont een tryna disrespectful say bitch term like bruh son,Offensive
leggsmania next time see bitch beat as job laugh loud,Offensive
lickmywhooooop vintage monroe justdoitslow aint bundle soooo nope bitch happy hosting,Offensive
livefromthe niggaz bitch hide behind gang,Offensive
longmoneytonyy vintage monroe dont say shit else stfu bitch lot twitter shit come see,Offensive
rx sometimes hate az amp sometimes love depends time year guess amp dumb bitch live,Offensive
rad bitch fat as way live young shit gon na get old though lot dent,Offensive
maratheemodel hoe fax type yo bitch number google see pop back page thank heartofahustlah,Offensive
malikhasanimani bcarter negro wear size still grow,Offensive
